# PCB EAGLE board file name: 20190429-usb-bridge.brd
# PCB is `29.000 mm` wide by `29.024 mm` long.
RefDes,X (mm),Y (mm),Side,Rotate,DigiKey
C1,15.25,1.75,Top,270,81-GRM1885C1H103JA1D
C2,16.25,6.25,Top,180,81-GCM1885C2A470FA6D
C3,23.25,6.25,Top,0,81-GCM1885C2A470FA6D
C4,4.00,1.50,Top,180,81-GRM188R6YA106MA3D
C5,25.50,10.00,Top,0,603-CC603KRX5R8BB105
C6,23.25,7.75,Top,0,603-CC603KRX5R8BB105
C7,4.00,3.00,Top,180,81-GRM188R6YA106MA3D
C8,4.00,14.50,Top,180,81-GRM188R6YA106MA3D
C9,4.00,13.00,Top,180,81-GRM1885C1H103JA1D
C10,14.75,11.75,Top,90,603-CC603KRX5R8BB105
C11,15.50,14.25,Top,0,81-GRM185C1H270FA01J
C12,14.00,21.75,Top,0,81-GRM185C1H270FA01J
FB1,14.25,4.25,Top,180,240-2374-1-ND
HW1,2.60,26.40,Top,0,DNP
HW2,26.40,2.60,Top,0,DNP
J1,20.50,1.45,Top,0,571-1981568-1
J2,17.00,22.50,Bottom,0,200-SSM108LDVKTR
J3,22.50,21.50,Top,270,517-N2506-6V0C-RB-WD
LED1,12.00,1.00,Top,0,604-APTD1608SYCK
LED2,8.25,3.00,Top,0,630-HSMF-C165
R1,12.25,2.75,Top,180,603-RC0603FR-071KL
R2,18.75,7.00,Top,90,603-RC0603FR-0727RL
R3,20.25,7.00,Top,90,603-RC0603FR-0727RL
R4,26.50,12.25,Top,180,603-RC0603FR-0710KL
R5,8.25,4.75,Top,180,603-RC0603FR-07300RL
R6,8.25,1.25,Top,180,603-RC0603FR-07300RL
SW1,5.25,22.50,Top,180,611-JS102011JCQN
SW2,5.25,17.50,Top,0,611-JS202011JCQN
SW3,13.00,25.75,Top,90,506-MSLPT5252BL3MTR
TP1,27.50,7.25,Top,270,534-5015
TP2,6.75,27.60,Top,180,534-5015
U1,10.00,11.25,Top,180,556-ATMEGA328P-MUR
U2,20.50,11.25,Top,0,895-FT221XQ-R
U3,4.00,8.00,Top,180,584-ADP3303ARZ3.3R7
X1,14.00,18.00,Top,270,815-ABM3C-10-D4YT
