# PCB EAGLE board file name: vis-spi-out.brd
# PCB is `34.000 mm` wide by `29.000 mm` long.
RefDes,X (mm),Y (mm),Side,Rotate,DigiKey
C1,11.10,14.20,Top,180,603-CC603KRX5R8BB105
C2,11.00,6.20,Top,180,81-GRM188R6YA106MA3D
C3,24.70,7.00,Top,270,81-GRM188R6YA106MA3D
C4,19.60,6.90,Top,90,603-CC603KRX5R8BB105
C6,23.00,12.40,Top,0,81-GRM188R6YA106MA3D
C7,28.50,22.60,Top,270,81-GRM188R6YA106MA3D
C8,19.20,13.50,Top,270,81-GRM185C1H270FA01J
C9,12.10,10.90,Top,180,81-GRM185C1H270FA01J
C10,23.00,15.40,Top,0,81-GCM1885C2A331FA6D
C11,15.60,5.83,Top,0,81-GCM1885C2A101FA6D
C12,15.60,10.33,Top,0,81-GCM1885C2A101FA6D
HW1,31.00,26.00,Top,0,DNP
HW2,3.00,3.00,Top,0,DNP
J1,17.00,22.50,Top,0,200-TSM10801SDVPTR
J2,31.00,17.05,Top,270,798-FH128S05SH55
J3,10.50,2.60,Top,90,200-SSM102SSVKTR
LED1,2.10,13.50,Top,0,516-1419-1-ND
LED2,2.20,8.70,Top,0,516-1419-1-ND
LED5,29.80,10.60,Top,90,604-APTD1608SYCK
R1,31.30,10.60,Top,270,603-RC0603FR-07390RL
R2,15.60,7.33,Top,180,603-RC0603FR-07100RL
R3,15.60,8.83,Top,180,603-RC0603FR-07100RL
R4,23.00,13.90,Top,180,603-RC0603FR-0710KL
R6,2.10,16.20,Top,180,603-RC0603FR-0710KL
R7,5.60,6.40,Top,270,774-742C043222JP
R8,2.20,11.20,Top,90,774-742C043331JP
R9,2.20,6.40,Top,90,774-742C043331JP
ROTATED-USB-BRIDGE-PCB,34.00,45.00,Top,180,DNP
RP1,27.10,10.80,Top,180,652-TC33X-2-204E
SW1,30.50,4.30,Top,90,611-JS102011JCQN
TP1,21.50,2.50,Top,0,534-5015
TP2,16.40,2.50,Top,0,534-5015
TP3,26.40,2.50,Top,0,534-5015
U1,21.90,10.20,Top,270,595-OPA2364AIDGKR
U2,11.00,8.50,Top,180,LTC1864LCMS8#PBF-ND
U3,22.10,6.20,Top,90,LM4132AMF-1.8/NOPBCT-ND
U5,6.60,14.00,Top,180,556-ATMEGA328P-MUR
USB-BRDIGE-PCB,0.00,0.00,Top,0,DNP
X1,15.70,13.50,Top,180,815-ABM3C-10-D4YT
